Binomial,Authority,YearOfDescription,StdTime,Class,Order,Suborder,Family,Genus,DiscProb,DiscProb_L95,DiscProb_U95
Acanthixalus sonjae,"Rödel, Kosuch, Veith, and Ernst, 2003",2003,0.942307692,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Acanthixalus,0.779,0.637,0.894
Acanthixalus spinosus,"(Buchholz and Peters, 1875)",1875,0.45,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Acanthixalus,1,1,1
Acris blanchardi,"Harper, 1947",1947,0.726923077,Amphibia,Anura,Neob. (hyloidea),Hylidae,Acris,1,0.998,1
Acris crepitans,"Baird, 1854",1854,0.369230769,Amphibia,Anura,Neob. (hyloidea),Hylidae,Acris,1,1,1
Acris gryllus,"(LeConte, 1825)",1825,0.257692308,Amphibia,Anura,Neob. (hyloidea),Hylidae,Acris,1,1,1
Adelastes hylonomos,"Zweifel, 1986",1986,0.876923077,Amphibia,Anura,Neob. (ranoidea),Microhylidae,Adelastes,0.942,0.921,0.959
Adelophryne adiastola,"Hoogmoed and Lescure, 1984",1984,0.869230769,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,1,1,1
Adelophryne baturitensis,"Hoogmoed, Borges, and Cascon, 1994",1994,0.907692308,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,0.715,0.6,0.82
Adelophryne gutturosa,"Hoogmoed and Lescure, 1984",1984,0.869230769,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,1,1,1
Adelophryne maranguapensis,"Hoogmoed, Borges, and Cascon, 1994",1994,0.907692308,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,0.561,0.467,0.661
Adelophryne meridionalis,"Santana, Fonseca, Neves, and Carvalho, 2012",2012,0.976923077,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,0.615,0.433,0.799
Adelophryne mucronatus,"Lourenço-de-Moraes, Solé, and Toledo, 2012",2012,0.976923077,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,0.55,0.45,0.655
Adelophryne pachydactyla,"Hoogmoed, Borges, and Cascon, 1994",1994,0.907692308,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,0.875,0.816,0.922
Adelophryne patamona,"MacCulloch, Lathrop, Kok, Minter, Khan, and Barrio-Amoros, 2008",2008,0.961538462,Amphibia,Anura,Neob. (hyloidea),Eleutherodactylidae,Adelophryne,0.753,0.624,0.864
Adelotus brevis,"(Günther, 1863)",1863,0.403846154,Amphibia,Anura,Neobatrachia (others),Limnodynastidae,Adelotus,1,1,1
Adelphobates castaneoticus,"(Caldwell and Myers, 1990)",1990,0.892307692,Amphibia,Anura,Neob. (hyloidea),Dendrobatidae,Adelphobates,0.999,0.995,1
Adelphobates galactonotus,"(Steindachner, 1864)",1864,0.407692308,Amphibia,Anura,Neob. (hyloidea),Dendrobatidae,Adelphobates,1,1,1
Adelphobates quinquevittatus,"(Steindachner, 1864)",1864,0.407692308,Amphibia,Anura,Neob. (hyloidea),Dendrobatidae,Adelphobates,1,1,1
Adenomera ajurauna,"(Berneck, Costa, and Garcia, 2008)",2008,0.961538462,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.417,0.298,0.561
Adenomera andreae,"(Müller, 1923)",1923,0.634615385,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,1,1,1
Adenomera araucaria,"Kwet and Angulo, 2002",2002,0.938461538,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.879,0.818,0.927
Adenomera bokermanni,"(Heyer, 1973)",1973,0.826923077,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,1,0.997,1
Adenomera coca,"(Angulo and Reichle, 2008)",2008,0.961538462,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.675,0.534,0.808
Adenomera cotuba,"Carvalho and Giaretta, 2013",2013,0.980769231,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.705,0.585,0.817
Adenomera diptyx,"(Boettger, 1885)",1885,0.488461538,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,1,1,1
Adenomera engelsi,"Kwet, Steiner, and Zillikens, 2009",2009,0.965384615,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.58,0.464,0.701
Adenomera heyeri,"Boistel, Massary, and Angulo, 2006",2006,0.953846154,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.977,0.931,0.995
Adenomera hylaedactyla,"(Cope, 1868)",1868,0.423076923,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,1,1,1
Adenomera juikitam,"Carvalho and Giaretta, 2013",2013,0.980769231,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.7,0.58,0.812
Adenomera lutzi,"Heyer, 1975",1975,0.834615385,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.998,0.996,1
Adenomera marmorata,"Steindachner, 1867",1867,0.419230769,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.999,0.995,1
Adenomera martinezi,"(Bokermann, 1956)",1956,0.761538462,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,1,1,1
Adenomera nana,"(Müller, 1922)",1922,0.630769231,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.947,0.897,0.977
Adenomera saci,"Carvalho and Giaretta, 2013",2013,0.980769231,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.721,0.599,0.832
Adenomera simonstuarti,"(Angulo and Icochea, 2010)",2010,0.969230769,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.747,0.651,0.834
Adenomera thomei,"(Almeida and Angulo, 2006)",2006,0.953846154,Amphibia,Anura,Neob. (hyloidea),Leptodactylidae,Adenomera,0.792,0.661,0.899
Adenomus dasi,"Manamendra-Arachchi and Pethiyagoda, 1998",1998,0.923076923,Amphibia,Anura,Neob. (hyloidea),Bufonidae,Adenomus,0.549,0.432,0.676
Adenomus kandianus,"(Günther, 1872)",1872,0.438461538,Amphibia,Anura,Neob. (hyloidea),Bufonidae,Adenomus,0.89,0.822,0.941
Adenomus kelaartii,"(Günther, 1858)",1858,0.384615385,Amphibia,Anura,Neob. (hyloidea),Bufonidae,Adenomus,0.984,0.965,0.994
Afrixalus aureus,"Pickersgill, 1984",1984,0.869230769,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,0.998,1
Afrixalus clarkei,"Largen, 1974",1974,0.830769231,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,0.994,0.986,0.998
Afrixalus delicatus,"Pickersgill, 1984",1984,0.869230769,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,0.999,1
Afrixalus dorsalis,"(Peters, 1875)",1875,0.45,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,1,1
Afrixalus dorsimaculatus,"(Ahl, 1930)",1930,0.661538462,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,0.914,0.865,0.95
Afrixalus enseticola,"Largen, 1974",1974,0.830769231,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,0.998,1
Afrixalus equatorialis,"(Laurent, 1941)",1941,0.703846154,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,1,1
Afrixalus fornasini,"(Bianconi, 1849)",1849,0.35,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,1,1
Afrixalus fulvovittatus,"(Cope, 1861)",1861,0.396153846,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,0.968,0.911,0.993
Afrixalus knysnae,"(Loveridge, 1954)",1954,0.753846154,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,0.911,0.872,0.943
Afrixalus lacteus,"Perret, 1976",1976,0.838461538,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,0.791,0.667,0.892
Afrixalus laevis,"(Ahl, 1930)",1930,0.661538462,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,1,1
Afrixalus leucostictus,"Laurent, 1950",1950,0.738461538,Amphibia,Anura,Neob. (ranoidea),Hyperoliidae,Afrixalus,1,1,1
